"ID","Name","Description","Parent"
"ad_astra:ad_astra","[Ad Astra]","�bConstruct a NASA Workbench, allowing you to craft rockets","-"
"ad_astra:astro_cuisine","[advancements.astro_cuisine.title]","�bThrow raw food into the atmosphere while in orbit, causing it to cook.","ad_astra:tier_1_rocket"
"ad_astra:challenger","[Challenger]","�bCollect every globe","ad_astra:interstellar"
"ad_astra:interstellar","[Interstellar]","�bEnter a new Star System","ad_astra:tier_4_rocket"
"ad_astra:jet_suit","[Now that's an upgrade!]","�bEquip a jet suit, allowing for unimaginable flight capabilities","ad_astra:venus"
"ad_astra:mars","[The Red Planet]","�bLand on Mars","ad_astra:tier_2_rocket"
"ad_astra:mercury","[Quite the Sun Tan]","�bLand on Mercury","ad_astra:tier_3_rocket"
"ad_astra:moon","[One Small Step]","�bLand on the Moon","ad_astra:tier_1_rocket"
"ad_astra:moon_dungeon","[Secrets Beneath]","�bEnter a Moon dungeon","ad_astra:moon"
"ad_astra:netherite_space_suit","[Beat the Heat]","�bEquip a netherite space suit, allowing you to survive the most dangerous conditions.","ad_astra:mars"
"ad_astra:recipes/ad_astra.tab_basics/calorite_engine","ad_astra:recipes/ad_astra.tab_basics/calorite_engine","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/calorite_tank","ad_astra:recipes/ad_astra.tab_basics/calorite_tank","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/desh_engine","ad_astra:recipes/ad_astra.tab_basics/desh_engine","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/desh_tank","ad_astra:recipes/ad_astra.tab_basics/desh_tank","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/engine_fan","ad_astra:recipes/ad_astra.tab_basics/engine_fan","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/engine_frame","ad_astra:recipes/ad_astra.tab_basics/engine_frame","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/hammer","ad_astra:recipes/ad_astra.tab_basics/hammer","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/iron_stick","ad_astra:recipes/ad_astra.tab_basics/iron_stick","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/ostrum_engine","ad_astra:recipes/ad_astra.tab_basics/ostrum_engine","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/ostrum_tank","ad_astra:recipes/ad_astra.tab_basics/ostrum_tank","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/oxygen_gear","ad_astra:recipes/ad_astra.tab_basics/oxygen_gear","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/rocket_fin","ad_astra:recipes/ad_astra.tab_basics/rocket_fin","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/rocket_nose_cone","ad_astra:recipes/ad_astra.tab_basics/rocket_nose_cone","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/steel_engine","ad_astra:recipes/ad_astra.tab_basics/steel_engine","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/steel_tank","ad_astra:recipes/ad_astra.tab_basics/steel_tank","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_basics/wheel","ad_astra:recipes/ad_astra.tab_basics/wheel","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_chest","ad_astra:recipes/ad_astra.tab_blocks/aeronos_chest","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_door","ad_astra:recipes/ad_astra.tab_blocks/aeronos_door","<null>","minecraft:recipes/root"
"ad_astra:recipes/ad_astra.tab_blocks/aeronos_fence","ad_astra:recipes/ad_astra.tab_blocks/aeronos_fence","<null>","minecraft:recipes/root"
