"ID","Registry name","Temp.","RainType","Downfall"
0,"minecraft:the_void",0.50,-,"0.50"
1,"minecraft:plains",0.80,rain,"0.40"
2,"minecraft:sunflower_plains",0.80,rain,"0.40"
3,"minecraft:snowy_plains",0.00,snow,"0.50"
4,"minecraft:ice_spikes",0.00,snow,"0.50"
5,"minecraft:desert",2.00,-,"0.00"
6,"minecraft:swamp",0.80,rain,"0.90"
7,"minecraft:forest",0.70,rain,"0.80"
8,"minecraft:flower_forest",0.70,rain,"0.80"
9,"minecraft:birch_forest",0.60,rain,"0.60"
10,"minecraft:dark_forest",0.70,rain,"0.80"
11,"minecraft:old_growth_birch_forest",0.60,rain,"0.60"
12,"minecraft:old_growth_pine_taiga",0.30,rain,"0.80"
13,"minecraft:old_growth_spruce_taiga",0.25,rain,"0.80"
14,"minecraft:taiga",0.25,rain,"0.80"
15,"minecraft:snowy_taiga",-0.50,snow,"0.40"
16,"minecraft:savanna",2.00,-,"0.00"
17,"minecraft:savanna_plateau",2.00,-,"0.00"
18,"minecraft:windswept_hills",0.20,rain,"0.30"
19,"minecraft:windswept_gravelly_hills",0.20,rain,"0.30"
20,"minecraft:windswept_forest",0.20,rain,"0.30"
21,"minecraft:windswept_savanna",2.00,-,"0.00"
22,"minecraft:jungle",0.95,rain,"0.90"
23,"minecraft:sparse_jungle",0.95,rain,"0.80"
24,"minecraft:bamboo_jungle",0.95,rain,"0.90"
25,"minecraft:badlands",2.00,-,"0.00"
26,"minecraft:eroded_badlands",2.00,-,"0.00"
27,"minecraft:wooded_badlands",2.00,-,"0.00"
28,"minecraft:meadow",0.50,rain,"0.80"
29,"minecraft:grove",-0.20,snow,"0.80"
30,"minecraft:snowy_slopes",-0.30,snow,"0.90"
31,"minecraft:frozen_peaks",-0.70,snow,"0.90"
32,"minecraft:jagged_peaks",-0.70,snow,"0.90"
33,"minecraft:stony_peaks",1.00,rain,"0.30"
34,"minecraft:river",0.50,rain,"0.50"
35,"minecraft:frozen_river",0.50,rain,"0.50"
36,"minecraft:beach",0.80,rain,"0.40"
37,"minecraft:snowy_beach",0.05,snow,"0.30"
38,"minecraft:stony_shore",0.20,rain,"0.30"
39,"minecraft:warm_ocean",0.50,rain,"0.50"
40,"minecraft:lukewarm_ocean",0.50,rain,"0.50"
41,"minecraft:deep_lukewarm_ocean",0.50,rain,"0.50"
42,"minecraft:ocean",2.00,-,"0.00"
43,"minecraft:deep_ocean",0.50,rain,"0.50"
44,"minecraft:cold_ocean",0.50,rain,"0.50"
45,"minecraft:deep_cold_ocean",0.50,rain,"0.50"
46,"minecraft:frozen_ocean",0.50,rain,"0.50"
47,"minecraft:deep_frozen_ocean",0.50,rain,"0.50"
48,"minecraft:mushroom_fields",0.90,rain,"1.00"
49,"minecraft:dripstone_caves",0.80,rain,"0.40"
50,"minecraft:lush_caves",0.50,rain,"0.50"
51,"minecraft:nether_wastes",2.00,-,"0.00"
52,"minecraft:warped_forest",2.00,-,"0.00"
53,"minecraft:crimson_forest",2.00,-,"0.00"
54,"minecraft:soul_sand_valley",2.00,-,"0.00"
55,"minecraft:basalt_deltas",2.00,-,"0.00"
56,"minecraft:the_end",0.50,-,"0.50"
57,"minecraft:end_highlands",0.50,-,"0.50"
58,"minecraft:end_midlands",0.50,-,"0.50"
59,"minecraft:small_end_islands",0.50,-,"0.50"
60,"minecraft:end_barrens",0.50,-,"0.50"
61,"byg:allium_fields",0.80,rain,"0.40"
62,"byg:amaranth_fields",0.80,rain,"0.40"
63,"byg:araucaria_savanna",1.20,-,"0.00"
64,"byg:aspen_forest",0.70,rain,"0.60"
65,"byg:autumnal_valley",0.35,rain,"0.80"
66,"byg:baobab_savanna",1.20,-,"0.00"
67,"byg:bayou",0.80,rain,"0.80"
68,"byg:black_forest",0.25,rain,"0.80"
69,"byg:borealis_grove",0.25,rain,"0.50"
70,"byg:canadian_shield",0.25,snow,"0.50"
71,"byg:cherry_blossom_forest",0.70,rain,"0.80"
72,"byg:cika_woods",0.35,rain,"0.50"
73,"byg:coniferous_forest",0.25,rain,"0.80"
74,"byg:cypress_swamplands",0.25,rain,"0.80"
75,"byg:dead_sea",2.00,rain,"0.00"
76,"byg:dacite_ridges",0.25,rain,"0.80"
77,"byg:windswept_dunes",2.00,-,"0.00"
78,"byg:ebony_woods",0.80,rain,"0.80"
79,"byg:forgotten_forest",0.80,rain,"0.80"
80,"byg:temperate_grove",0.75,rain,"0.80"
81,"byg:guiana_shield",0.95,rain,"0.90"
82,"byg:jacaranda_forest",0.95,rain,"0.50"
83,"byg:maple_taiga",0.25,rain,"0.80"
84,"byg:coconino_meadow",0.80,rain,"0.80"
85,"byg:mojave_desert",2.00,-,"0.00"
86,"byg:orchard",0.80,rain,"0.80"
87,"byg:prairie",0.80,rain,"0.20"
88,"byg:red_oak_forest",0.80,rain,"0.90"
89,"byg:rose_fields",0.80,rain,"0.40"
90,"byg:autumnal_forest",0.25,rain,"0.90"
91,"byg:autumnal_taiga",0.25,rain,"0.80"
92,"byg:shattered_glacier",-0.50,snow,"0.90"
93,"byg:firecracker_shrubland",2.00,rain,"0.40"
94,"byg:sierra_badlands",1.20,rain,"0.10"
95,"byg:skyris_vale",0.25,rain,"0.80"
96,"byg:redwood_thicket",0.90,rain,"0.90"
97,"byg:frosted_taiga",-0.50,snow,"0.80"
98,"byg:frosted_coniferous_forest",-0.50,snow,"0.80"
99,"byg:fragment_forest",0.25,rain,"0.80"
100,"byg:tropical_rainforest",0.95,rain,"0.90"
101,"byg:twilight_meadow",0.25,rain,"0.80"
102,"byg:weeping_witch_forest",0.25,rain,"0.80"
103,"byg:temperate_rainforest",0.80,rain,"0.80"
104,"byg:zelkova_forest",0.25,rain,"0.80"
105,"byg:ivis_fields",0.80,-,"0.80"
106,"byg:nightshade_forest",0.80,-,"0.40"
107,"byg:ethereal_islands",0.80,-,"0.80"
108,"byg:viscal_isles",0.80,-,"0.40"
109,"byg:bulbis_gardens",0.80,-,"0.80"
110,"byg:shattered_desert",0.80,-,"0.80"
111,"byg:shulkren_forest",0.80,-,"0.40"
112,"byg:cryptic_wastes",0.80,-,"0.80"
113,"byg:imparius_grove",0.80,-,"0.80"
114,"edenring:stone_garden",1.00,-,"1.00"
115,"edenring:golden_forest",1.00,-,"1.00"
116,"edenring:mycotic_forest",1.00,-,"1.00"
117,"edenring:pulse_forest",1.00,-,"1.00"
118,"edenring:brainstorm",1.00,-,"1.00"
119,"edenring:lakeside_desert",1.00,-,"1.00"
120,"edenring:wind_valley",1.00,-,"1.00"
121,"edenring:air_ocean",1.00,-,"1.00"
122,"edenring:sky_colony",1.00,-,"1.00"
123,"modern_beta:beta_forest",0.70,rain,"0.80"
124,"modern_beta:beta_shrubland",0.70,rain,"0.40"
125,"modern_beta:beta_desert",1.00,-,"0.00"
126,"modern_beta:beta_savanna",0.70,rain,"0.10"
127,"modern_beta:beta_plains",1.00,rain,"0.40"
128,"modern_beta:beta_seasonal_forest",1.00,rain,"0.70"
129,"modern_beta:beta_rainforest",1.00,rain,"1.00"
130,"modern_beta:beta_swampland",0.50,rain,"1.00"
131,"modern_beta:beta_taiga",0.00,snow,"0.50"
132,"modern_beta:beta_tundra",0.00,snow,"0.50"
133,"modern_beta:beta_ice_desert",0.00,snow,"0.50"
134,"modern_beta:beta_ocean",0.70,rain,"0.50"
135,"modern_beta:beta_lukewarm_ocean",1.00,rain,"0.70"
136,"modern_beta:beta_warm_ocean",1.00,rain,"1.00"
137,"modern_beta:beta_cold_ocean",0.50,snow,"1.00"
138,"modern_beta:beta_frozen_ocean",0.00,snow,"0.50"
139,"modern_beta:beta_sky",0.50,-,"0.00"
140,"modern_beta:alpha",0.60,rain,"0.60"
141,"modern_beta:alpha_winter",0.00,snow,"0.00"
142,"modern_beta:infdev_415",0.60,rain,"0.60"
143,"modern_beta:infdev_415_winter",0.00,snow,"0.00"
144,"modern_beta:infdev_227",0.60,rain,"0.60"
145,"modern_beta:infdev_227_winter",0.00,snow,"0.00"
146,"modern_beta:indev_normal",0.60,rain,"0.60"
147,"modern_beta:indev_hell",0.60,-,"0.60"
148,"modern_beta:indev_paradise",0.60,-,"0.60"
149,"modern_beta:indev_woods",0.60,-,"0.60"
150,"modern_beta:indev_snowy",0.00,rain,"0.00"
151,"modern_beta:pe_forest",0.70,rain,"0.80"
152,"modern_beta:pe_shrubland",0.70,rain,"0.40"
153,"modern_beta:pe_desert",1.00,-,"0.00"
154,"modern_beta:pe_savanna",0.70,rain,"0.10"
155,"modern_beta:pe_plains",1.00,rain,"0.40"
156,"modern_beta:pe_seasonal_forest",1.00,rain,"0.70"
157,"modern_beta:pe_rainforest",1.00,rain,"1.00"
158,"modern_beta:pe_swampland",0.50,rain,"1.00"
159,"modern_beta:pe_taiga",0.00,snow,"0.50"
160,"modern_beta:pe_tundra",0.00,snow,"0.50"
161,"modern_beta:pe_ice_desert",0.00,snow,"0.50"
162,"modern_beta:pe_ocean",0.70,rain,"0.50"
163,"modern_beta:pe_lukewarm_ocean",1.00,rain,"0.70"
164,"modern_beta:pe_warm_ocean",1.00,rain,"1.00"
165,"modern_beta:pe_cold_ocean",0.50,snow,"1.00"
166,"modern_beta:pe_frozen_ocean",0.00,snow,"0.50"
167,"modern_beta:infdev_611",0.60,rain,"0.60"
168,"modern_beta:infdev_611_winter",0.00,snow,"0.00"
169,"modern_beta:infdev_420",0.60,rain,"0.60"
170,"modern_beta:infdev_420_winter",0.00,snow,"0.00"
171,"promenade:pumpkin_pastures",0.80,rain,"0.90"
172,"promenade:pink_cherry_oak_forest",0.60,rain,"0.40"
173,"promenade:white_cherry_oak_forest",0.60,rain,"0.40"
174,"promenade:tall_crimson_forest",2.00,-,"0.00"
175,"promenade:tall_warped_forest",2.00,-,"0.00"
176,"promenade:tritanopian_gallery",2.00,-,"0.00"
177,"promenade:achromatopsian_gallery",2.00,-,"0.00"
178,"promenade:protanopian_gallery",2.00,-,"0.00"
179,"promenade:dark_amaranth_forest",0.50,-,"0.50"
180,"promenade:tall_dark_amaranth_forest",0.50,-,"0.50"
181,"magicfungi:host_biome",1.00,-,"0.00"
182,"ae2:spatial_storage",0.50,-,"0.50"
183,"minecraft:deep_warm_ocean",0.50,rain,"0.50"
184,"spectrum:deeper_down_biome",1.50,-,"0.00"
185,"skylore:void",0.50,rain,"0.50"
