"Mod name","Registry name","Item ID","Display name"
"Botania","botania:abstruse_platform","botania:abstruse_platform","Abstruse Platform"
"Botania","botania:agricarnation","botania:agricarnation","Agricarnation"
"Botania","botania:agricarnation_chibi","botania:agricarnation_chibi","Agricarnation Petite"
"Botania","botania:alchemy_catalyst","botania:alchemy_catalyst","Alchemy Catalyst"
"Botania","botania:alfheim_portal","botania:alfheim_portal","Elven Gateway Core"
"Botania","botania:animated_torch","botania:animated_torch","Animated Torch"
"Botania","botania:apothecary_default","botania:apothecary_default","Petal Apothecary"
"Botania","botania:apothecary_desert","botania:apothecary_desert","Solite Petal Apothecary"
"Botania","botania:apothecary_forest","botania:apothecary_forest","Fuchsite Petal Apothecary"
"Botania","botania:apothecary_fungal","botania:apothecary_fungal","Mycelite Petal Apothecary"
"Botania","botania:apothecary_mesa","botania:apothecary_mesa","Rosy Talc Petal Apothecary"
"Botania","botania:apothecary_mossy","botania:apothecary_mossy","Mossy Petal Apothecary"
"Botania","botania:apothecary_mountain","botania:apothecary_mountain","Gneiss Petal Apothecary"
"Botania","botania:apothecary_plains","botania:apothecary_plains","Talc Petal Apothecary"
"Botania","botania:apothecary_swamp","botania:apothecary_swamp","Cataclasite Petal Apothecary"
"Botania","botania:apothecary_taiga","botania:apothecary_taiga","Lunite Petal Apothecary"
"Botania","botania:avatar","botania:avatar","Livingwood Avatar"
"Botania","botania:azulejo_0","botania:azulejo_0","Azulejo"
"Botania","botania:azulejo_1","botania:azulejo_1","Azulejo"
"Botania","botania:azulejo_10","botania:azulejo_10","Azulejo"
"Botania","botania:azulejo_11","botania:azulejo_11","Azulejo"
"Botania","botania:azulejo_12","botania:azulejo_12","Azulejo"
"Botania","botania:azulejo_13","botania:azulejo_13","Azulejo"
"Botania","botania:azulejo_14","botania:azulejo_14","Azulejo"
"Botania","botania:azulejo_15","botania:azulejo_15","Azulejo"
"Botania","botania:azulejo_2","botania:azulejo_2","Azulejo"
"Botania","botania:azulejo_3","botania:azulejo_3","Azulejo"
"Botania","botania:azulejo_4","botania:azulejo_4","Azulejo"
"Botania","botania:azulejo_5","botania:azulejo_5","Azulejo"
"Botania","botania:azulejo_6","botania:azulejo_6","Azulejo"
"Botania","botania:azulejo_7","botania:azulejo_7","Azulejo"
"Botania","botania:azulejo_8","botania:azulejo_8","Azulejo"
"Botania","botania:azulejo_9","botania:azulejo_9","Azulejo"
"Botania","botania:bellethorn","botania:bellethorn","Bellethorne"
"Botania","botania:bellethorn_chibi","botania:bellethorn_chibi","Bellethorne Petite"
"Botania","botania:bellows","botania:bellows","Manatide Bellows"
"Botania","botania:bergamute","botania:bergamute","Bergamute"
"Botania","botania:bifrost","","Temporary Bifrost Block"
"Botania","botania:bifrost_pane","botania:bifrost_pane","Bifrost Pane"
"Botania","botania:bifrost_perm","botania:bifrost_perm","Bifrost Block"
"Botania","botania:black_buried_petals","botania:black_petal","Mystical Black Petal"
"Botania","botania:black_double_flower","botania:black_double_flower","Tall Mystical Black Flower"
"Botania","botania:black_floating_flower","botania:black_floating_flower","Floating Black Flower"
"Botania","botania:black_mushroom","botania:black_mushroom","Black Shimmering Mushroom"
"Botania","botania:black_mystical_flower","botania:black_mystical_flower","Mystical Black Flower"
"Botania","botania:black_pavement","botania:black_pavement","Black Portuguese Pavement"
"Botania","botania:black_pavement_slab","botania:black_pavement_slab","Black Portuguese Pavement Slab"
"Botania","botania:black_pavement_stairs","botania:black_pavement_stairs","Black Portuguese Pavement Stairs"
"Botania","botania:black_petal_block","botania:black_petal_block","Black Petal Block"
"Botania","botania:black_shiny_flower","botania:black_shiny_flower","Glimmering Black Flower"
"Botania","botania:blaze_block","botania:blaze_block","Blaze Mesh"
"Botania","botania:blaze_quartz","botania:blaze_quartz","Block of Blaze Quartz"
"Botania","botania:blaze_quartz_pillar","botania:blaze_quartz_pillar","Pillar Blaze Quartz Block"
"Botania","botania:blaze_quartz_slab","botania:blaze_quartz_slab","Blaze Quartz Slab"
"Botania","botania:blaze_quartz_stairs","botania:blaze_quartz_stairs","Blaze Quartz Stairs"
"Botania","botania:blue_buried_petals","botania:blue_petal","Mystical Blue Petal"
"Botania","botania:blue_double_flower","botania:blue_double_flower","Tall Mystical Blue Flower"
"Botania","botania:blue_floating_flower","botania:blue_floating_flower","Floating Blue Flower"
"Botania","botania:blue_mushroom","botania:blue_mushroom","Blue Shimmering Mushroom"
"Botania","botania:blue_mystical_flower","botania:blue_mystical_flower","Mystical Blue Flower"
"Botania","botania:blue_pavement","botania:blue_pavement","Blue Portuguese Pavement"
"Botania","botania:blue_pavement_slab","botania:blue_pavement_slab","Blue Portuguese Pavement Slab"
"Botania","botania:blue_pavement_stairs","botania:blue_pavement_stairs","Blue Portuguese Pavement Stairs"
"Botania","botania:blue_petal_block","botania:blue_petal_block","Blue Petal Block"
"Botania","botania:blue_shiny_flower","botania:blue_shiny_flower","Glimmering Blue Flower"
"Botania","botania:brewery","botania:brewery","Botanical Brewery"
"Botania","botania:brown_buried_petals","botania:brown_petal","Mystical Brown Petal"
"Botania","botania:brown_double_flower","botania:brown_double_flower","Tall Mystical Brown Flower"
"Botania","botania:brown_floating_flower","botania:brown_floating_flower","Floating Brown Flower"
"Botania","botania:brown_mushroom","botania:brown_mushroom","Brown Shimmering Mushroom"
"Botania","botania:brown_mystical_flower","botania:brown_mystical_flower","Mystical Brown Flower"
"Botania","botania:brown_petal_block","botania:brown_petal_block","Brown Petal Block"
"Botania","botania:brown_shiny_flower","botania:brown_shiny_flower","Glimmering Brown Flower"
"Botania","botania:bubbell","botania:bubbell","Bubbell"
"Botania","botania:bubbell_chibi","botania:bubbell_chibi","Bubbell Petite"
"Botania","botania:cacophonium_block","botania:cacophonium_block","Cacophonium Block"
"Botania","botania:cell_block","botania:cell_block","Cellular Block"
"Botania","botania:chiseled_blaze_quartz","botania:chiseled_blaze_quartz","Chiseled Blaze Quartz Block"
