"Mod name","Registry name","Item ID","Display name"
"Botania","botania:abstruse_platform",4642,"Abstruse Platform"
"Botania","botania:agricarnation",5248,"Agricarnation"
"Botania","botania:agricarnation_chibi",5249,"Agricarnation Petite"
"Botania","botania:alchemy_catalyst",4605,"Alchemy Catalyst"
"Botania","botania:alfheim_portal",4619,"Elven Gateway Core"
"Botania","botania:ancient_will_ahrim",5152,"Will of Ahrim"
"Botania","botania:ancient_will_dharok",5153,"Will of Dharok"
"Botania","botania:ancient_will_guthan",5154,"Will of Guthan"
"Botania","botania:ancient_will_karil",5157,"Will of Karil"
"Botania","botania:ancient_will_torag",5155,"Will of Torag"
"Botania","botania:ancient_will_verac",5156,"Will of Verac"
"Botania","botania:animated_torch",4681,"Animated Torch"
"Botania","botania:apothecary_default",4558,"Petal Apothecary"
"Botania","botania:apothecary_desert",4564,"Solite Petal Apothecary"
"Botania","botania:apothecary_forest",4559,"Fuchsite Petal Apothecary"
"Botania","botania:apothecary_fungal",4562,"Mycelite Petal Apothecary"
"Botania","botania:apothecary_mesa",4566,"Rosy Talc Petal Apothecary"
"Botania","botania:apothecary_mossy",4567,"Mossy Petal Apothecary"
"Botania","botania:apothecary_mountain",4561,"Gneiss Petal Apothecary"
"Botania","botania:apothecary_plains",4560,"Talc Petal Apothecary"
"Botania","botania:apothecary_swamp",4563,"Cataclasite Petal Apothecary"
"Botania","botania:apothecary_taiga",4565,"Lunite Petal Apothecary"
"Botania","botania:astrolabe",5079,"Worldshaper's Astrolabe"
"Botania","botania:aura_ring",5083,"Band of Aura"
"Botania","botania:aura_ring_greater",5084,"Greater Band of Aura"
"Botania","botania:auto_crafting_halo",5070,"Manufactory Halo"
"Botania","botania:avatar",4676,"Livingwood Avatar"
"Botania","botania:azulejo_0",4683,"Azulejo"
"Botania","botania:azulejo_1",4684,"Azulejo"
"Botania","botania:azulejo_10",4693,"Azulejo"
"Botania","botania:azulejo_11",4694,"Azulejo"
"Botania","botania:azulejo_12",4695,"Azulejo"
"Botania","botania:azulejo_13",4696,"Azulejo"
"Botania","botania:azulejo_14",4697,"Azulejo"
"Botania","botania:azulejo_15",4698,"Azulejo"
"Botania","botania:azulejo_2",4685,"Azulejo"
"Botania","botania:azulejo_3",4686,"Azulejo"
"Botania","botania:azulejo_4",4687,"Azulejo"
"Botania","botania:azulejo_5",4688,"Azulejo"
"Botania","botania:azulejo_6",4689,"Azulejo"
"Botania","botania:azulejo_7",4690,"Azulejo"
"Botania","botania:azulejo_8",4691,"Azulejo"
"Botania","botania:azulejo_9",4692,"Azulejo"
"Botania","botania:balance_cloak",5104,"Cloak of Balance"
"Botania","botania:bauble_box",5080,"Trinket Case"
"Botania","botania:bellethorn",5228,"Bellethorne"
"Botania","botania:bellethorn_chibi",5229,"Bellethorne Petite"
"Botania","botania:bellows",4638,"Manatide Bellows"
"Botania","botania:bergamute",5232,"Bergamute"
"Botania","botania:bifrost_pane",4904,"Bifrost Pane"
"Botania","botania:bifrost_perm",4614,"Bifrost Block"
"Botania","botania:black_double_flower",4557,"Tall Mystical Black Flower"
"Botania","botania:black_floating_flower",4509,"Floating Black Flower"
"Botania","botania:black_hole_talisman",5073,"Black Hole Talisman"
"Botania","botania:black_lotus",5126,"Black Lotus"
"Botania","botania:black_mushroom",4541,"Black Shimmering Mushroom"
"Botania","botania:black_mystical_flower",4477,"Mystical Black Flower"
"Botania","botania:black_pavement",4881,"Black Portuguese Pavement"
"Botania","botania:black_pavement_slab",4887,"Black Portuguese Pavement Slab"
"Botania","botania:black_pavement_stairs",4893,"Black Portuguese Pavement Stairs"
"Botania","botania:black_petal",4925,"Mystical Black Petal"
"Botania","botania:black_petal_block",4525,"Black Petal Block"
"Botania","botania:black_shiny_flower",4493,"Glimmering Black Flower"
"Botania","botania:blacker_lotus",5127,"Blacker Lotus"
"Botania","botania:blaze_block",4699,"Blaze Mesh"
"Botania","botania:blaze_quartz",4751,"Block of Blaze Quartz"
"Botania","botania:blaze_quartz_pillar",4752,"Pillar Blaze Quartz Block"
"Botania","botania:blaze_quartz_slab",4754,"Blaze Quartz Slab"
"Botania","botania:blaze_quartz_stairs",4755,"Blaze Quartz Stairs"
"Botania","botania:blood_pendant",5163,"Tainted Blood Pendant"
"Botania","botania:blue_double_flower",4553,"Tall Mystical Blue Flower"
"Botania","botania:blue_floating_flower",4505,"Floating Blue Flower"
"Botania","botania:blue_mushroom",4537,"Blue Shimmering Mushroom"
"Botania","botania:blue_mystical_flower",4473,"Mystical Blue Flower"
"Botania","botania:blue_pavement",4882,"Blue Portuguese Pavement"
"Botania","botania:blue_pavement_slab",4888,"Blue Portuguese Pavement Slab"
"Botania","botania:blue_pavement_stairs",4894,"Blue Portuguese Pavement Stairs"
"Botania","botania:blue_petal",4921,"Mystical Blue Petal"
"Botania","botania:blue_petal_block",4521,"Blue Petal Block"
"Botania","botania:blue_shiny_flower",4489,"Glimmering Blue Flower"
"Botania","botania:brew_flask",5162,"Flask of Fallback (6)"
"Botania","botania:brew_vial",5161,"Vial of Fallback (4)"
"Botania","botania:brewery",4617,"Botanical Brewery"
"Botania","botania:brown_double_flower",4554,"Tall Mystical Brown Flower"
"Botania","botania:brown_floating_flower",4506,"Floating Brown Flower"
"Botania","botania:brown_mushroom",4538,"Brown Shimmering Mushroom"
"Botania","botania:brown_mystical_flower",4474,"Mystical Brown Flower"
"Botania","botania:brown_petal",4922,"Mystical Brown Petal"
"Botania","botania:brown_petal_block",4522,"Brown Petal Block"
"Botania","botania:brown_shiny_flower",4490,"Glimmering Brown Flower"
"Botania","botania:bubbell",5290,"Bubbell"
"Botania","botania:bubbell_chibi",5291,"Bubbell Petite"
"Botania","botania:cacophonium",5076,"Cacophonium"
"Botania","botania:cacophonium_block",4673,"Cacophonium Block"
"Botania","botania:cell_block",4674,"Cellular Block"
"Botania","botania:chiseled_blaze_quartz",4753,"Chiseled Blaze Quartz Block"
"Botania","botania:chiseled_dark_quartz",4743,"Chiseled Smokey Quartz Block"
"Botania","botania:chiseled_elf_quartz",4768,"Chiseled Elven Quartz Block"
"Botania","botania:chiseled_lavender_quartz",4758,"Chiseled Lavender Quartz Block"
"Botania","botania:chiseled_livingrock_bricks",4570,"Chiseled Livingrock Brick"
"Botania","botania:chiseled_mana_quartz",4748,"Chiseled Mana Quartz Block"
"Botania","botania:chiseled_metamorphic_desert_bricks",4853,"Chiseled Solite Bricks"
"Botania","botania:chiseled_metamorphic_forest_bricks",4788,"Chiseled Fuchsite Bricks"
"Botania","botania:chiseled_metamorphic_fungal_bricks",4827,"Chiseled Mycelite Bricks"
"Botania","botania:chiseled_metamorphic_mesa_bricks",4879,"Chiseled Rosy Talc Bricks"
"Botania","botania:chiseled_metamorphic_mountain_bricks",4814,"Chiseled Gneiss Bricks"
"Botania","botania:chiseled_metamorphic_plains_bricks",4801,"Chiseled Talc Bricks"
"Botania","botania:chiseled_metamorphic_swamp_bricks",4840,"Chiseled Cataclasite Bricks"
"Botania","botania:chiseled_metamorphic_taiga_bricks",4866,"Chiseled Lunite Bricks"
"Botania","botania:chiseled_red_quartz",4763,"Chiseled Redquartz Block"
"Botania","botania:chiseled_sunny_quartz",4773,"Chiseled Sunny Quartz Block"
"Botania","botania:clayconia",5272,"Clayconia"
"Botania","botania:clayconia_chibi",5273,"Clayconia Petite"
"Botania","botania:clip",5060,"Lens Clip"
"Botania","botania:cloud_pendant",5100,"Cirrus Amulet"
"Botania","botania:cobble_rod",5008,"Rod of the Depths"
"Botania","botania:cocoon",4679,"Cocoon of Caprice"
"Botania","botania:conjuration_catalyst",4606,"Conjuration Catalyst"
"Botania","botania:corporea_block",4658,"Corporea Block"
"Botania","botania:corporea_brick",4661,"Corporea Brick"
"Botania","botania:corporea_brick_slab",4662,"Corporea Brick Slab"
"Botania","botania:corporea_brick_stairs",4663,"Corporea Brick Stairs"
"Botania","botania:corporea_brick_wall",4664,"Corporea Brick Wall"
"Botania","botania:corporea_crystal_cube",4656,"Corporea Crystal Cube"
"Botania","botania:corporea_funnel",4654,"Corporea Funnel"
"Botania","botania:corporea_index",4653,"Corporea Index"
"Botania","botania:corporea_interceptor",4655,"Corporea Interceptor"
"Botania","botania:corporea_retainer",4657,"Corporea Retainer"
"Botania","botania:corporea_slab",4659,"Corporea Slab"
"Botania","botania:corporea_spark",5123,"Corporea Spark"
"Botania","botania:corporea_spark_creative",5125,"Creative Corporea Spark"
"Botania","botania:corporea_spark_master",5124,"Master Corporea Spark"
"Botania","botania:corporea_stairs",4660,"Corporea Stairs"
"Botania","botania:cosmetic_alien_antenna",5189,"Alien Antenna"
"Botania","botania:cosmetic_anaglyph_glasses",5190,"Anaglyph Glasses"
"Botania","botania:cosmetic_ancient_mask",5187,"Ancient Mask"
"Botania","botania:cosmetic_black_bowtie",5165,"Black Bowtie"
"Botania","botania:cosmetic_black_tie",5166,"Black Tie"
"Botania","botania:cosmetic_blue_butterfly",5175,"Blue Butterfly"
"Botania","botania:cosmetic_botanist_emblem",5186,"Botanist Emblem"
"Botania","botania:cosmetic_cat_ears",5176,"Cat Ears"
"Botania","botania:cosmetic_clock_eye",5182,"Clock Eye"
"Botania","botania:cosmetic_devil_horns",5184,"Devil Horns"
"Botania","botania:cosmetic_devil_tail",5178,"Devil Tail"
"Botania","botania:cosmetic_eerie_mask",5188,"Eerie Mask"
"Botania","botania:cosmetic_engineer_goggles",5169,"Engineer Goggles"
"Botania","botania:cosmetic_eyepatch",5170,"Eyepatch"
"Botania","botania:cosmetic_four_leaf_clover",5181,"Four-Leafed Clover"
"Botania","botania:cosmetic_googly_eyes",5180,"Googly Eyes"
"Botania","botania:cosmetic_groucho_glasses",5192,"Groucho Glasses"
"Botania","botania:cosmetic_hyper_plus",5185,"Hyper Plus"
"Botania","botania:cosmetic_kamui_eye",5179,"Kamui Eye"
"Botania","botania:cosmetic_lusitanic_shield",5194,"Lusitanic Shield"
"Botania","botania:cosmetic_orange_shades",5191,"Orange Shades"
"Botania","botania:cosmetic_pink_flower_bud",5173,"Pink Flower Bud"
"Botania","botania:cosmetic_polka_dotted_bows",5174,"Polka-Dotted Bows"
"Botania","botania:cosmetic_puffy_scarf",5168,"Puffy Scarf"
"Botania","botania:cosmetic_questgiver_mark",5196,"Questgiver Mark"
"Botania","botania:cosmetic_red_glasses",5167,"Red Glasses"
"Botania","botania:cosmetic_red_ribbons",5172,"Red Ribbons"
"Botania","botania:cosmetic_thick_eyebrows",5193,"Thick Eyebrows"
"Botania","botania:cosmetic_thinking_hand",5197,"Thinking Hand"
"Botania","botania:cosmetic_tiny_potato_mask",5195,"Tiny Potato Mask"
"Botania","botania:cosmetic_unicorn_horn",5183,"Unicorn Horn"
"Botania","botania:cosmetic_wicked_eyepatch",5171,"Wicked Eyepatch"
"Botania","botania:cosmetic_witch_pin",5177,"Witch Pin"
"Botania","botania:cracked_livingrock_bricks",4571,"Cracked Livingrock Brick"
"Botania","botania:crafting_halo",5069,"Assembly Halo"
"Botania","botania:crafty_crate",4640,"Crafty Crate"
"Botania","botania:creative_pool",4602,"The Everlasting Guilty Pool"
"Botania","botania:crystal_bow",5054,"Crystal Bow"
"Botania","botania:cyan_double_flower",4551,"Tall Mystical Cyan Flower"
"Botania","botania:cyan_floating_flower",4503,"Floating Cyan Flower"
"Botania","botania:cyan_mushroom",4535,"Cyan Shimmering Mushroom"
"Botania","botania:cyan_mystical_flower",4471,"Mystical Cyan Flower"
"Botania","botania:cyan_petal",4919,"Mystical Cyan Petal"
"Botania","botania:cyan_petal_block",4519,"Cyan Petal Block"
"Botania","botania:cyan_shiny_flower",4487,"Glimmering Cyan Flower"
"Botania","botania:daffomill",5278,"Daffomill"
"Botania","botania:dandelifeon",5222,"Dandelifeon"
"Botania","botania:dark_quartz",4741,"Block of Smokey Quartz"
"Botania","botania:dark_quartz_pillar",4742,"Pillar Smokey Quartz Block"
"Botania","botania:dark_quartz_slab",4744,"Smokey Quartz Slab"
"Botania","botania:dark_quartz_stairs",4745,"Smokey Quartz Stairs"
"Botania","botania:daybloom_motif",4709,"Daybloom Motif"
"Botania","botania:detector_light_relay",4669,"Detector Luminizer"
"Botania","botania:dice",5143,"Dice of Fate"
"Botania","botania:diluted_pool",4603,"Diluted Mana Pool"
"Botania","botania:dirt_rod",5005,"Rod of the Lands"
"Botania","botania:diva_charm",5110,"Charm of the Diva"
"Botania","botania:divining_rod",5012,"Rod of the Plentiful Mantle"
"Botania","botania:dodge_ring",5089,"Ring of Dexterous Motion"
"Botania","botania:dragonstone",4935,"Dragonstone"
"Botania","botania:dragonstone_block",4611,"Block of Dragonstone"
"Botania","botania:dreadthorn",5234,"Dreadthorne"
"Botania","botania:dreamwood",4589,"Dreamwood"
"Botania","botania:dreamwood_fence",4734,"Dreamwood Fence"
"Botania","botania:dreamwood_fence_gate",4735,"Dreamwood Fence Gate"
"Botania","botania:dreamwood_log",4585,"Dreamwood Log"
"Botania","botania:dreamwood_planks",4592,"Dreamwood Planks"
"Botania","botania:dreamwood_planks_slab",4740,"Dreamwood Plank Slab"
"Botania","botania:dreamwood_planks_stairs",4739,"Dreamwood Plank Stairs"
"Botania","botania:dreamwood_slab",4732,"Dreamwood Slab"
"Botania","botania:dreamwood_stairs",4731,"Dreamwood Stairs"
"Botania","botania:dreamwood_twig",4937,"Dreamwood Twig"
"Botania","botania:dreamwood_wall",4733,"Dreamwood Wall"
"Botania","botania:dreamwood_wand",4907,"Wand of the Elven Forest (Bind Mode)"
"Botania","botania:drum_canopy",4631,"Drum of the Canopy"
"Botania","botania:drum_gathering",4630,"Drum of the Gathering"
"Botania","botania:drum_wild",4629,"Drum of the Wild"
"Botania","botania:dry_grass",4703,"Dry Grass"
"Botania","botania:dry_seeds",4999,"Dry Pasture Seeds"
"Botania","botania:elementium_axe",5034,"Elementium Axe"
"Botania","botania:elementium_block",4609,"Block of Elementium"
"Botania","botania:elementium_boots",5031,"Elementium Boots"
"Botania","botania:elementium_chestplate",5029,"Elementium Chestplate"
"Botania","botania:elementium_helmet",5028,"Elementium Helmet"
"Botania","botania:elementium_hoe",5035,"Elementium Hoe"
"Botania","botania:elementium_ingot",4933,"Elementium Ingot"
"Botania","botania:elementium_leggings",5030,"Elementium Leggings"
"Botania","botania:elementium_nugget",4943,"Elementium Nugget"
"Botania","botania:elementium_pickaxe",5032,"Elementium Pickaxe"
"Botania","botania:elementium_shears",5037,"Elementium Shears"
"Botania","botania:elementium_shovel",5033,"Elementium Shovel"
"Botania","botania:elementium_sword",5036,"Elementium Sword"
"Botania","botania:elf_glass",4613,"Alfglass"
"Botania","botania:elf_glass_pane",4903,"Alfglass Pane"
"Botania","botania:elf_quartz",4766,"Block of Elven Quartz"
"Botania","botania:elf_quartz_pillar",4767,"Pillar Elven Quartz Block"
"Botania","botania:elf_quartz_slab",4769,"Elven Quartz Slab"
"Botania","botania:elf_quartz_stairs",4770,"Elven Quartz Stairs"
"Botania","botania:elven_spreader",4599,"Elven Mana Spreader"
"Botania","botania:enchanted_soil",4680,"Enchanted Soil"
"Botania","botania:enchanter",4616,"Mana Enchanter"
"Botania","botania:ender_air_bottle",4939,"Ender Air Bottle"
"Botania","botania:ender_dagger",5051,"Soulscribe"
"Botania","botania:ender_eye_block",4646,"Ender Overseer"
"Botania","botania:ender_hand",5068,"Hand of Ender"
"Botania","botania:endoflame",5204,"Endoflame"
"Botania","botania:entropinnyum",5212,"Entropinnyum"
"Botania","botania:exchange_rod",5014,"Rod of the Shifting Crust"
"Botania","botania:exoflame",5246,"Exoflame"
"Botania","botania:fabulous_pool",4604,"Fabulous Mana Pool"
"Botania","botania:fallen_kanade",5244,"Fallen Kanade"
"Botania","botania:fel_pumpkin",4678,"Fel Pumpkin"
"Botania","botania:fertilizer",4909,"Floral Fertilizer"
"Botania","botania:fire_rod",5011,"Rod of the Hells"
"Botania","botania:flare_chakram",5056,"Flare Chakram"
"Botania","botania:flask",5160,"Alfglass Flask"
"Botania","botania:flight_tiara",5112,"Flügel Tiara"
"Botania","botania:floating_agricarnation",5250,"Floating Agricarnation"
"Botania","botania:floating_agricarnation_chibi",5251,"Floating Agricarnation Petite"
"Botania","botania:floating_bellethorn",5230,"Floating Bellethorne"
"Botania","botania:floating_bellethorn_chibi",5231,"Floating Bellethorne Petite"
"Botania","botania:floating_bergamute",5233,"Floating Bergamute"
"Botania","botania:floating_bubbell",5292,"Floating Bubbell"
"Botania","botania:floating_bubbell_chibi",5293,"Floating Bubbell Petite"
"Botania","botania:floating_clayconia",5274,"Floating Clayconia"
"Botania","botania:floating_clayconia_chibi",5275,"Floating Clayconia Petite"
"Botania","botania:floating_daffomill",5279,"Floating Daffomill"
"Botania","botania:floating_dandelifeon",5223,"Floating Dandelifeon"
"Botania","botania:floating_dreadthorn",5235,"Floating Dreadthorne"
"Botania","botania:floating_endoflame",5205,"Floating Endoflame"
"Botania","botania:floating_entropinnyum",5213,"Floating Entropinnyum"
"Botania","botania:floating_exoflame",5247,"Floating Exoflame"
"Botania","botania:floating_fallen_kanade",5245,"Floating Fallen Kanade"
"Botania","botania:floating_gourmaryllis",5217,"Floating Gourmaryllis"
"Botania","botania:floating_heisei_dream",5237,"Floating Heisei Dream"
"Botania","botania:floating_hopperhock",5254,"Floating Hopperhock"
"Botania","botania:floating_hopperhock_chibi",5255,"Floating Hopperhock Petite"
"Botania","botania:floating_hyacidus",5269,"Floating Hyacidus"
"Botania","botania:floating_hydroangeas",5203,"Floating Hydroangeas"
"Botania","botania:floating_jaded_amaranthus",5241,"Floating Jaded Amaranthus"
"Botania","botania:floating_jiyuulia",5262,"Floating Jiyuulia"
"Botania","botania:floating_jiyuulia_chibi",5263,"Floating Jiyuulia Petite"
"Botania","botania:floating_kekimurus",5215,"Floating Kekimurus"
"Botania","botania:floating_labellia",5301,"Floating Labellia"
"Botania","botania:floating_loonium",5277,"Floating Loonium"
"Botania","botania:floating_manastar",5201,"Floating Manastar"
"Botania","botania:floating_marimorphosis",5288,"Floating Marimorphosis"
"Botania","botania:floating_marimorphosis_chibi",5289,"Floating Marimorphosis Petite"
"Botania","botania:floating_medumone",5285,"Floating Medumone"
"Botania","botania:floating_munchdew",5211,"Floating Munchdew"
"Botania","botania:floating_narslimmus",5219,"Floating Narslimmus"
"Botania","botania:floating_orechid",5243,"Floating Orechid"
"Botania","botania:floating_orechid_ignem",5299,"Floating Orechid Ignem"
"Botania","botania:floating_pollidisiac",5271,"Floating Pollidisiac"
"Botania","botania:floating_pure_daisy",5199,"Floating Pure Daisy"
"Botania","botania:floating_rafflowsia",5225,"Floating Rafflowsia"
"Botania","botania:floating_rannuncarpus",5266,"Floating Rannuncarpus"
"Botania","botania:floating_rannuncarpus_chibi",5267,"Floating Rannuncarpus Petite"
"Botania","botania:floating_rosa_arcana",5209,"Floating Rosa Arcana"
"Botania","botania:floating_shulk_me_not",5227,"Floating Shulk Me Not"
"Botania","botania:floating_solegnolia",5296,"Floating Solegnolia"
"Botania","botania:floating_solegnolia_chibi",5297,"Floating Solegnolia Petite"
"Botania","botania:floating_spectranthemum",5283,"Floating Spectranthemum"
"Botania","botania:floating_spectrolus",5221,"Floating Spectrolus"
"Botania","botania:floating_tangleberrie",5258,"Floating Tangleberrie"
"Botania","botania:floating_tangleberrie_chibi",5259,"Floating Tangleberrie Petite"
"Botania","botania:floating_thermalily",5207,"Floating Thermalily"
"Botania","botania:floating_tigerseye",5239,"Floating Tigerseye"
"Botania","botania:floating_vinculotus",5281,"Floating Vinculotus"
"Botania","botania:flower_bag",5072,"Flower Pouch"
"Botania","botania:flugel_eye",5146,"Eye of the Flügel"
"Botania","botania:forest_eye",4641,"Eye of the Ancients"
"Botania","botania:fork_light_relay",4670,"Fork Luminizer"
"Botania","botania:framed_dreamwood",4594,"Framed Dreamwood Planks"
"Botania","botania:framed_livingwood",4582,"Framed Livingwood Planks"
"Botania","botania:gaia_head",4700,"Gaia Guardian's Head"
"Botania","botania:gaia_ingot",4938,"Gaia Spirit Ingot"
"Botania","botania:gaia_pylon",4622,"Gaia Pylon"
"Botania","botania:gaia_spreader",4600,"Gaia Mana Spreader"
"Botania","botania:ghost_rail",4667,"Spectral Rail"
"Botania","botania:glass_pickaxe",5052,"Vitreous Pickaxe"
"Botania","botania:glimmering_dreamwood",4596,"Glimmering Dreamwood"
"Botania","botania:glimmering_dreamwood_log",4586,"Glimmering Dreamwood Log"
"Botania","botania:glimmering_livingwood",4584,"Glimmering Livingwood"
"Botania","botania:glimmering_livingwood_log",4575,"Glimmering Livingwood Log"
"Botania","botania:glimmering_stripped_dreamwood",4591,"Glimmering Stripped Dreamwood"
"Botania","botania:glimmering_stripped_dreamwood_log",4588,"Glimmering Stripped Dreamwood Log"
"Botania","botania:glimmering_stripped_livingwood",4579,"Glimmering Stripped Livingwood"
"Botania","botania:glimmering_stripped_livingwood_log",4576,"Glimmering Stripped Livingwood Log"
"Botania","botania:goddess_charm",5109,"Benevolent Goddess' Charm"
"Botania","botania:golden_grass",4704,"Golden Grass"
"Botania","botania:golden_seeds",5000,"Golden Pasture Seeds"
"Botania","botania:gourmaryllis",5216,"Gourmaryllis"
"Botania","botania:grass_seeds",4996,"Pasture Seeds"
"Botania","botania:gravity_rod",5016,"Rod of the Shaded Mesa"
"Botania","botania:gray_double_flower",4549,"Tall Mystical Gray Flower"
"Botania","botania:gray_floating_flower",4501,"Floating Gray Flower"
"Botania","botania:gray_mushroom",4533,"Gray Shimmering Mushroom"
"Botania","botania:gray_mystical_flower",4469,"Mystical Gray Flower"
"Botania","botania:gray_petal",4917,"Mystical Gray Petal"
"Botania","botania:gray_petal_block",4517,"Gray Petal Block"
"Botania","botania:gray_shiny_flower",4485,"Glimmering Gray Flower"
"Botania","botania:green_double_flower",4555,"Tall Mystical Green Flower"
"Botania","botania:green_floating_flower",4507,"Floating Green Flower"
"Botania","botania:green_mushroom",4539,"Green Shimmering Mushroom"
"Botania","botania:green_mystical_flower",4475,"Mystical Green Flower"
"Botania","botania:green_pavement",4885,"Green Portuguese Pavement"
"Botania","botania:green_pavement_slab",4891,"Green Portuguese Pavement Slab"
"Botania","botania:green_pavement_stairs",4897,"Green Portuguese Pavement Stairs"
"Botania","botania:green_petal",4923,"Mystical Green Petal"
"Botania","botania:green_petal_block",4523,"Green Petal Block"
"Botania","botania:green_shiny_flower",4491,"Glimmering Green Flower"
"Botania","botania:heisei_dream",5236,"Heisei Dream"
"Botania","botania:holy_cloak",5102,"Cloak of Virtue"
"Botania","botania:hopperhock",5252,"Hopperhock"
"Botania","botania:hopperhock_chibi",5253,"Hopperhock Petite"
"Botania","botania:horn_grass",5061,"Horn of the Wild"
"Botania","botania:horn_leaves",5062,"Horn of the Canopy"
"Botania","botania:horn_snow",5063,"Horn of the Covering"
"Botania","botania:hourglass",4666,"Hovering Hourglass"
"Botania","botania:hyacidus",5268,"Hyacidus"
"Botania","botania:hydroangeas",5202,"Hydroangeas"
"Botania","botania:hydroangeas_motif",4711,"Hydroangeas Motif"
"Botania","botania:ice_pendant",5097,"Snowflake Pendant"
"Botania","botania:incense_plate",4665,"Incense Plate"
"Botania","botania:incense_stick",5164,"Incense Stick"
"Botania","botania:infinite_fruit",5144,"The Fruit of Grisaia"
"Botania","botania:infrangible_platform",4644,"Infrangible Platform"
"Botania","botania:infused_grass",4707,"Infused Grass"
"Botania","botania:infused_seeds",5003,"Infused Pasture Seeds"
"Botania","botania:invisibility_cloak",5105,"Invisibility Cloak"
"Botania","botania:itemfinder",5111,"The Spectator"
"Botania","botania:jaded_amaranthus",5240,"Jaded Amaranthus"
"Botania","botania:jiyuulia",5260,"Jiyuulia"
"Botania","botania:jiyuulia_chibi",5261,"Jiyuulia Petite"
"Botania","botania:keep_ivy",5132,"Resolute Ivy"
"Botania","botania:kekimurus",5214,"Kekimurus"
"Botania","botania:king_key",5145,"Key of the King's Law"
"Botania","botania:knockback_belt",5096,"Tectonic Girdle"
"Botania","botania:labellia",5300,"Labellia"
"Botania","botania:laputa_shard",5115,"Shard of Laputa"
"Botania","botania:lava_pendant",5098,"Pyroclast Pendant"
"Botania","botania:lavender_quartz",4756,"Block of Lavender Quartz"
"Botania","botania:lavender_quartz_pillar",4757,"Pillar Lavender Quartz Block"
"Botania","botania:lavender_quartz_slab",4759,"Lavender Quartz Slab"
"Botania","botania:lavender_quartz_stairs",4760,"Lavender Quartz Stairs"
"Botania","botania:lens_bounce",4960,"Mana Lens: Bounce"
"Botania","botania:lens_damage",4963,"Mana Lens: Damaging"
"Botania","botania:lens_efficiency",4959,"Mana Lens: Efficiency"
"Botania","botania:lens_explosive",4966,"Mana Lens: Entropic"
"Botania","botania:lens_fire",4970,"Mana Lens: Kindle"
"Botania","botania:lens_firework",4975,"Mana Lens: Celebratory"
"Botania","botania:lens_flare",4976,"Mana Lens: Flare"
"Botania","botania:lens_gravity",4961,"Mana Lens: Gravity"
"Botania","botania:lens_influence",4967,"Mana Lens: Influence"
"Botania","botania:lens_light",4972,"Mana Lens: Flash"
"Botania","botania:lens_magnet",4965,"Mana Lens: Magnetizing"
